,word_count,sentence_count,sentence_length,fraction_sentence_relative,relative_clause_length,alius,antequam,atque_consonant,conjunction,cum_clause,demonstrative,dum,gerundive,idem,interrogative,ipse,iste,o_interjection,personal,preposition,priusquam,quidam,quin,quominus,reflexive,si,superlative,ut
7.11-7.71.txt,435,36,12.0,0.2222222222222222,4.5,3,0,0,60,0,15,1,3,1,14,0,1,0,17,17,0,0,1,0,2,7,0,3
7.171-7.178.txt,57,5,11.4,0.4,3.5,0,0,0,6,0,2,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0
7.192-7.219.txt,176,8,22.0,0.375,6.666666666666667,0,0,0,30,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,1,0
7.309-7.311.txt,23,1,23.0,1.0,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
7.332-7.338.txt,44,4,11.0,0.0,,0,0,0,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
7.433-7.450.txt,112,6,18.666666666666668,0.3333333333333333,11.0,0,0,0,6,0,1,0,0,0,0,0,0,0,4,6,0,0,0,0,0,1,1,0
7.484-7.486.txt,21,1,21.0,0.0,,0,0,0,3,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.507-7.511.txt,37,2,18.5,0.5,4.0,0,0,0,5,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7.512-7.516.txt,36,4,9.0,0.25,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.518-7.659.txt,924,58,15.931034482758621,0.20689655172413793,5.3076923076923075,1,0,1,130,2,15,7,3,1,3,4,1,1,22,45,1,0,0,0,2,2,1,2
7.615-7.618.txt,31,2,15.5,0.0,,0,0,0,4,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,1,0,0
7.620-7.621.txt,14,2,7.0,0.5,3.0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
7.627-7.628.txt,15,1,15.0,0.0,,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
7.690-7.793.txt,682,59,11.559322033898304,0.15254237288135594,4.818181818181818,0,0,0,64,0,23,4,6,3,3,7,1,0,24,17,0,0,2,0,3,5,0,2
7.741-7.742.txt,14,3,4.666666666666667,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7.796-7.862.txt,456,25,18.24,0.24,3.8333333333333335,0,0,0,55,0,8,1,0,1,1,2,1,1,26,20,0,0,0,0,4,2,1,4
7.817-7.820.txt,30,1,30.0,0.0,,0,0,0,4,0,1,0,0,0,0,0,1,0,5,1,0,0,0,0,0,0,0,2
8.108-8.142.txt,248,28,8.821428571428571,0.2857142857142857,4.5,0,0,0,26,0,5,0,0,1,9,0,0,2,18,6,0,0,0,0,0,1,0,1
8.44-8.80.txt,261,22,11.772727272727273,0.18181818181818182,3.5,0,0,0,24,1,7,0,0,2,3,1,0,1,17,9,0,0,0,0,2,3,0,1
8.550-8.559.txt,66,5,13.2,0.0,,0,0,0,6,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8.577-8.610.txt,225,18,12.5,0.2777777777777778,6.5,0,0,0,22,0,7,2,0,0,0,3,0,1,6,9,0,0,0,0,0,3,0,1
8.595-8.602.txt,54,4,13.5,0.5,4.333333333333333,0,0,0,8,0,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,3,0,0
8.618-8.724.txt,669,43,15.55813953488372,0.11627906976744186,5.4,0,0,0,90,1,19,3,5,4,0,2,0,1,4,23,0,0,0,0,1,1,0,0
8.689-8.693.txt,29,2,14.5,0.0,,0,0,0,4,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
8.704-8.705.txt,10,1,10.0,0.0,,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.724-8.724.txt,9,1,9.0,0.0,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8.728-8.884.txt,1047,52,20.134615384615383,0.2692307692307692,6.238095238095238,0,0,0,121,0,35,1,4,0,1,4,1,3,18,53,0,0,0,0,5,2,2,8
8.90-8.94.txt,35,5,7.0,0.0,,0,0,0,7,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0
9.16-9.26.txt,81,6,13.5,0.3333333333333333,7.5,0,0,0,9,0,1,0,0,1,0,0,0,0,6,4,0,0,0,0,0,0,0,0
9.243-9.258.txt,108,6,18.0,0.3333333333333333,5.0,0,0,0,17,0,3,0,0,1,0,2,1,1,3,1,0,0,0,0,0,1,0,0
9.4-9.88.txt,562,36,15.583333333333334,0.2222222222222222,7.0,2,0,0,62,1,9,2,3,1,3,0,0,0,21,24,0,0,1,0,2,0,1,2
9.474-9.519.txt,321,35,9.17142857142857,0.22857142857142856,3.875,0,0,0,33,0,12,1,0,0,9,2,1,1,16,7,0,0,0,0,2,7,0,2
9.530-9.563.txt,239,12,19.916666666666668,0.3333333333333333,4.6,0,0,0,33,0,2,0,2,0,1,1,0,0,12,5,0,0,0,0,0,4,1,1
9.569-9.570.txt,14,1,14.0,0.0,,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9.585-9.629.txt,304,23,13.217391304347826,0.30434782608695654,5.428571428571429,0,0,0,47,0,8,1,5,1,4,2,1,0,6,6,0,1,0,0,0,4,0,2
9.9-9.12.txt,25,2,12.0,0.5,7.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
